Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Authentication/TC-023-Doctor-login-wrong-credentials,Edge Chromium 147.0.3912.72,Doctor login with wrong credentials - error message must appear.,baseline,26-04-2026 01:14:01,26-04-2026 01:14:06,4.676s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:14:01,26-04-2026 01:14:05,4.403s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:14:05,26-04-2026 01:14:06,0.222s,PASSED
,,,,,,,
Test Cases/Authentication/TC-024-Patient-login-wrong-credentials,Edge Chromium 147.0.3912.72,Patient login with wrong credentials - error message must appear.,baseline,26-04-2026 01:14:06,26-04-2026 01:14:11,5.078s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:14:06,26-04-2026 01:14:10,4.761s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:14:10,26-04-2026 01:14:11,0.240s,PASSED
,,,,,,,
Test Cases/Authentication/TC-025-Staff-logout,Edge Chromium 147.0.3912.72,"Staff logout - after login, clicking logout must redirect to /login and clear session.",baseline,26-04-2026 01:14:11,26-04-2026 01:14:18,7.025s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:14:11,26-04-2026 01:14:17,6.742s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:14:17,26-04-2026 01:14:18,0.245s,PASSED
,,,,,,,
Test Cases/Authentication/TC-026-Staff-protected-redirect,Edge Chromium 147.0.3912.72,Staff protected pages redirect to /login when user is not authenticated.,baseline,26-04-2026 01:14:18,26-04-2026 01:14:20,1.940s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:14:18,26-04-2026 01:14:19,1.691s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:14:19,26-04-2026 01:14:20,0.192s,PASSED
,,,,,,,
Test Cases/Authentication/TC-027-Doctor-protected-redirect,Edge Chromium 147.0.3912.72,Doctor protected pages redirect to /login when user is not authenticated.,baseline,26-04-2026 01:14:20,26-04-2026 01:14:22,2.647s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:14:20,26-04-2026 01:14:22,2.450s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:14:22,26-04-2026 01:14:22,0.151s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-028-Patient-search-no-results,Edge Chromium 147.0.3912.72,Patient search with a term that matches nothing - table must show empty state gracefully.,baseline,26-04-2026 01:14:22,26-04-2026 01:14:31,9.154s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:14:22,26-04-2026 01:14:31,8.872s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:14:31,26-04-2026 01:14:31,0.229s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-029-Drug-search-no-results,Edge Chromium 147.0.3912.72,Drug catalog search with a term that matches nothing - table must show empty state gracefully.,baseline,26-04-2026 01:14:31,26-04-2026 01:15:01,29.061s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:14:31,26-04-2026 01:15:00,28.743s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:15:00,26-04-2026 01:15:01,0.271s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-030-Invoice-search-no-results,Edge Chromium 147.0.3912.72,Invoice billing search with a term that matches nothing - table must show empty state gracefully.,baseline,26-04-2026 01:15:01,26-04-2026 01:15:10,9.507s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:15:01,26-04-2026 01:15:10,9.134s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:15:10,26-04-2026 01:15:10,0.331s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-031-Patient-filter-female,Edge Chromium 147.0.3912.72,Filter patient list by Female gender - complementary to TC-010 Male filter.,baseline,26-04-2026 01:15:10,26-04-2026 01:15:19,9.212s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:15:10,26-04-2026 01:15:19,8.882s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:15:19,26-04-2026 01:15:19,0.251s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-032-Patient-search-with-filter,Edge Chromium 147.0.3912.72,Patient search combined with active gender filter - both constraints must apply simultaneously.,baseline,26-04-2026 01:15:19,26-04-2026 01:15:30,10.791s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:15:19,26-04-2026 01:15:30,10.463s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:15:30,26-04-2026 01:15:30,0.269s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-033-Drug-filter-capsule,Edge Chromium 147.0.3912.72,Drug filter by CAPSULE dosage form - complementary to TC-014 TABLET filter.,baseline,26-04-2026 01:15:30,26-04-2026 01:15:39,8.981s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:15:30,26-04-2026 01:15:39,8.687s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:15:39,26-04-2026 01:15:39,0.233s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-034-Waitlist-filter-urgent,Edge Chromium 147.0.3912.72,"Waitlist filter by EMERGENCY priority - tests highest-severity triage cases, complementary to TC-018 NORMAL filter.",baseline,26-04-2026 01:15:39,26-04-2026 01:15:48,9.461s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:15:39,26-04-2026 01:15:48,9.147s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:15:48,26-04-2026 01:15:48,0.269s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-035-Room-filter-unavailable,Edge Chromium 147.0.3912.72,"Room filter by unavailable status - tests room occupancy tracking, complementary to TC-016 available filter.",baseline,26-04-2026 01:15:48,26-04-2026 01:16:17,28.984s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:15:49,26-04-2026 01:16:17,28.681s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:16:17,26-04-2026 01:16:17,0.256s,PASSED
