Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:11:43,26-04-2026 02:11:44,0.259s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-030-Invoice-search-no-results,Edge Chromium 147.0.3912.72,Invoice billing search with a term that matches nothing - table must show empty state gracefully.,baseline,26-04-2026 02:11:44,26-04-2026 02:11:53,9.479s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:11:44,26-04-2026 02:11:53,9.191s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:11:53,26-04-2026 02:11:53,0.239s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-031-Patient-filter-female,Edge Chromium 147.0.3912.72,Filter patient list by Female gender - complementary to TC-010 Male filter.,baseline,26-04-2026 02:11:53,26-04-2026 02:12:02,9.310s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:11:53,26-04-2026 02:12:02,8.994s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:12:02,26-04-2026 02:12:02,0.262s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-032-Patient-search-with-filter,Edge Chromium 147.0.3912.72,Patient search combined with active gender filter - both constraints must apply simultaneously.,baseline,26-04-2026 02:12:02,26-04-2026 02:12:14,11.062s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:12:03,26-04-2026 02:12:13,10.769s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:12:13,26-04-2026 02:12:14,0.229s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-033-Drug-filter-capsule,Edge Chromium 147.0.3912.72,Drug filter by CAPSULE dosage form - complementary to TC-014 TABLET filter.,baseline,26-04-2026 02:12:14,26-04-2026 02:12:43,29.563s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:12:14,26-04-2026 02:12:43,29.270s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:12:43,26-04-2026 02:12:43,0.240s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-034-Waitlist-filter-urgent,Edge Chromium 147.0.3912.72,"Waitlist filter by EMERGENCY priority - tests highest-severity triage cases, complementary to TC-018 NORMAL filter.",baseline,26-04-2026 02:12:43,26-04-2026 02:12:53,9.498s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:12:43,26-04-2026 02:12:52,9.176s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:12:52,26-04-2026 02:12:53,0.274s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-035-Room-filter-unavailable,Edge Chromium 147.0.3912.72,"Room filter by unavailable status - tests room occupancy tracking, complementary to TC-016 available filter.",baseline,26-04-2026 02:12:53,26-04-2026 02:13:22,29.110s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:12:53,26-04-2026 02:13:21,28.642s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:13:21,26-04-2026 02:13:22,0.395s,PASSED
